name,date,actors,location,location_details,price,lowPrice,highPrice,categoryName
蔡健雅“Let’s Depart！给世界最悠长的吻”巡回演唱会-上海返场,2024.07.06 周六 19:00,艺人：蔡健雅,上海,浦发银行东方体育中心,380-1380,380.0,1380.0,演唱会
棱镜「多少年·多少面」2024巡回演唱会-厦门站,2024.07.20 周六 19:00,艺人：棱镜乐队,厦门,厦门奥林匹克体育中心-凤凰体育馆,380-880,380.0,880.0,演唱会
郁可唯《终身浪漫的开始》2024巡回演唱会-上海收官站,2024.07.20 周六 19:30,艺人：郁可唯,上海,浦发银行东方体育中心,380-1080,380.0,1080.0,演唱会
2024 张信哲未来式终极版演唱会-兰州站,2024.08.24 周六 20:00,艺人：张信哲,兰州,兰州奥体中心玫瑰体育场,280-2000,280.0,2000.0,演唱会
“爱奇迹”音乐盛典-潍坊站,2024.07.20 周六 19:30,艺人：陶喆、王心凌、吴克群、苏妙玲,潍坊,潍坊奥体中心体育场,199-899,199.0,899.0,演唱会
2024成都欢乐谷万物生电音节,2024.07.06-08.31,艺人：余景天(Tony)、王以太、刘忻、GAI周延、Ella陈嘉桦、灼海豚乐队,成都,成都欢乐谷,150-230,150.0,230.0,演唱会
动力火车“都是因为爱”巡回演唱会长沙站,2024.08.03 周六 19:30,艺人：动力火车,长沙,湖南国际会展中心·芒果馆,380-1880,380.0,1880.0,演唱会
2024周传雄「念念不忘·回响」巡回演唱会-重庆站,2024.08.10 周六 19:00,艺人：周传雄,重庆,华熙LIVE·鱼洞·场馆,388-1288,388.0,1288.0,演唱会
林宥嘉idol2024巡回演唱会-天津站,2024.07.13-07.14,艺人：林宥嘉,天津,天津奥林匹克中心体育馆,380-2660,380.0,2660.0,演唱会
TizzyT 2024pogo电音节（天津欢乐谷）,2024.07.06 周六 19:30,,天津,天津欢乐谷,230,230.0,230.0,演唱会
国缘之夜·泰有引力音乐嘉年华,2024.07.28 周日 19:30,艺人：李健、朴树、杨宗纬、南征北战,泰州,泰州体育公园体育场,180-1480,180.0,1480.0,演唱会
王栎鑫 2024pogo电音节（天津欢乐谷）,2024.08.04 周日 19:30,艺人：王栎鑫,天津,天津欢乐谷,230,230.0,230.0,演唱会
